EmployeeID,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,MonthlyIncome,BusinessTravel,DistanceFromHome,PercentSalaryHike,StockOptionLevel,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,JobInvolvement,PerformanceRating,Attrition
123,24,Female,Divorced,Bachelor,Life Sciences,Research & Development,Manager,5,28970,Travel_Rarely,1,18,3,1.0,5.0,4,5,0,3,Very High,High,Best,High,Excellent,No
124,30,Female,Married,Bachelor,Life Sciences,Research & Development,Manager,2,59680,Travel_Rarely,3,13,0,1.0,1.0,3,1,0,0,High,Medium,Better,High,Excellent,No
126,22,Male,Married,Doctor,Other,Research & Development,Research Scientist,1,29910,Travel_Rarely,16,19,2,1.0,2.0,3,2,1,2,Low,Medium,Better,Medium,Excellent,No
127,36,Female,Married,Bachelor,Medical,Research & Development,Healthcare Representative,5,196360,Travel_Rarely,1,12,1,1.0,10.0,3,10,9,0,Medium,High,Better,High,Excellent,No
128,30,Male,Single,College,Marketing,Sales,Research Scientist,3,11290,Travel_Frequently,3,19,0,9.0,3.0,2,1,0,0,High,Very High,Better,Medium,Excellent,Yes
129,37,Male,Divorced,Below College,Technical Degree,Research & Development,Sales Executive,1,133410,Travel_Rarely,10,14,1,1.0,18.0,3,18,12,17,Very High,Low,Good,High,Excellent,No
130,40,Male,Divorced,College,Medical,Research & Development,Research Scientist,3,43320,Travel_Rarely,6,14,2,7.0,8.0,3,5,1,3,Very High,Medium,Better,Medium,Excellent,No
131,42,Female,Divorced,Bachelor,Medical,Research & Development,Manager,4,110310,Travel_Rarely,2,12,1,3.0,8.0,2,5,1,2,Medium,Low,Better,Medium,Excellent,No
132,37,Male,Single,Below College,Marketing,Sales,Sales Executive,3,44400,Travel_Rarely,9,11,1,2.0,18.0,3,1,0,1,High,Medium,Good,Medium,Excellent,No
133,43,Female,Divorced,College,Life Sciences,Sales,Sales Executive,1,46170,Travel_Rarely,10,11,0,1.0,25.0,2,25,3,9,Low,Medium,Better,High,Excellent,No
134,40,Female,Married,College,Life Sciences,Sales,Laboratory Technician,1,26470,Travel_Rarely,6,13,0,6.0,20.0,2,1,0,0,Medium,High,Better,Medium,Excellent,No
135,54,Female,Married,Bachelor,Life Sciences,Human Resources,Manufacturing Director,2,63230,Travel_Rarely,9,23,1,4.0,24.0,2,4,1,2,Low,Low,Good,Medium,Outstanding,No
136,34,Male,Married,Bachelor,Medical,Research & Development,Laboratory Technician,1,56770,Non-Travel,28,20,1,9.0,6.0,3,3,1,2,High,High,Better,High,Outstanding,No
137,31,Male,Married,Master,Life Sciences,Research & Development,Sales Executive,3,21870,Travel_Rarely,10,15,1,1.0,13.0,2,13,3,12,Medium,Low,Bad,Medium,Excellent,No
139,43,Male,Divorced,Master,Life Sciences,Sales,Sales Representative,2,39770,Travel_Rarely,27,18,1,4.0,8.0,3,5,0,2,High,High,Better,High,Excellent,No
140,25,Male,Single,College,Human Resources,Human Resources,Manufacturing Director,1,86330,Travel_Rarely,7,19,1,1.0,5.0,2,5,1,3,Medium,Very High,Better,Very High,Excellent,No
141,37,Male,Married,Bachelor,Medical,Research & Development,Laboratory Technician,3,20080,Non-Travel,1,22,0,3.0,15.0,5,13,10,7,Medium,High,Better,Medium,Outstanding,No
142,31,Male,Married,Below College,Medical,Research & Development,Laboratory Technician,3,44400,Travel_Rarely,24,13,1,1.0,4.0,2,4,3,2,Very High,Low,Better,High,Excellent,No
143,39,Female,Divorced,Master,Technical Degree,Research & Development,Sales Executive,1,30670,Travel_Frequently,26,20,1,1.0,21.0,5,21,1,6,Medium,High,Better,Low,Outstanding,No
144,56,Female,Married,Master,Life Sciences,Research & Development,Sales Executive,3,53210,Travel_Frequently,20,14,0,9.0,36.0,1,7,7,7,High,Low,Good,High,Excellent,No
145,30,Female,Single,Master,Medical,Sales,Manufacturing Director,2,54100,Travel_Rarely,5,17,1,0.0,6.0,2,5,4,4,Medium,High,Better,High,Excellent,No
146,41,Female,Married,Bachelor,Technical Degree,Research & Development,Research Scientist,3,27820,Travel_Rarely,7,14,0,1.0,10.0,2,10,0,7,Medium,Low,Better,Medium,Excellent,No
147,28,Male,Divorced,Bachelor,Medical,Research & Development,Healthcare Representative,3,119570,Travel_Rarely,7,13,0,1.0,10.0,2,10,1,8,High,Low,Better,Medium,Excellent,No
148,25,Female,Married,College,Life Sciences,Research & Development,Laboratory Technician,3,26600,Travel_Rarely,5,13,0,5.0,6.0,3,2,0,2,Low,Low,Better,High,Excellent,Yes
149,52,Female,Married,College,Life Sciences,Research & Development,Sales Representative,2,33750,Travel_Rarely,26,21,0,2.0,28.0,2,5,0,4,Very High,High,Better,Medium,Outstanding,No
150,45,Female,Married,Bachelor,Medical,Research & Development,Sales Executive,1,50980,Travel_Rarely,2,14,1,3.0,8.0,4,2,0,2,Low,Very High,Good,High,Excellent,No
151,52,Male,Married,Bachelor,Medical,Research & Development,Research Scientist,2,48780,Travel_Rarely,12,11,1,2.0,31.0,3,5,1,4,Very High,Very High,Bad,High,Excellent,No
152,42,Female,Divorced,Bachelor,Marketing,Sales,Healthcare Representative,2,28370,Travel_Frequently,10,13,1,2.0,19.0,0,5,0,2,Low,High,Better,Medium,Excellent,No
153,30,Male,Single,Bachelor,Marketing,Sales,Sales Executive,1,24060,Travel_Rarely,25,20,1,2.0,11.0,5,5,0,2,High,Very High,Better,High,Outstanding,No
154,60,Female,Married,Bachelor,Life Sciences,Research & Development,Manufacturing Director,1,22690,Travel_Rarely,10,18,1,5.0,33.0,4,29,11,10,Low,Low,Bad,High,Excellent,No
155,46,Female,Divorced,Master,Marketing,Sales,Sales Executive,1,41080,Travel_Rarely,19,14,0,2.0,19.0,5,10,0,8,High,High,Good,Medium,Excellent,No
156,42,Male,Married,Master,Technical Degree,Research & Development,Sales Executive,4,132060,Travel_Frequently,18,13,2,0.0,7.0,2,6,0,4,Very High,Very High,Best,High,Excellent,No
157,24,Male,Single,College,Medical,Research & Development,Research Scientist,1,104220,Travel_Rarely,27,17,1,1.0,6.0,0,5,1,4,Low,Medium,Better,Medium,Excellent,Yes
158,34,Male,Divorced,Bachelor,Medical,Research & Development,Research Scientist,2,137440,Travel_Frequently,5,20,1,0.0,3.0,3,2,1,0,Very High,High,Good,High,Outstanding,Yes
159,38,Female,Married,Bachelor,Marketing,Sales,Sales Executive,2,49070,Travel_Frequently,3,11,1,1.0,1.0,3,1,0,0,Very High,Very High,Better,High,Excellent,No
160,40,Female,Married,Master,Marketing,Sales,Sales Executive,1,34820,Travel_Rarely,26,18,1,0.0,21.0,2,20,1,12,High,High,Better,Medium,Excellent,No
161,26,Female,Divorced,College,Medical,Research & Development,Healthcare Representative,4,24360,Travel_Rarely,3,24,0,1.0,3.0,2,3,0,2,Low,Very High,Bad,Very High,Outstanding,No
