EmployeeID,Gender,MaritalStatus,Education,EducationField,Department,JobRole,JobLevel,MonthlyIncome,BusinessTravel,DistanceFromHome,StockOptionLevel,NumCompaniesWorked,YearsSinceLastPromotion,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,PerformanceRating,Attrition
117,0,0,1,2,1,8,3,28580,1,2,0,1.0,0,1,3,1,0,0
118,0,0,2,4,0,6,2,52040,1,2,1,8.0,0,1,2,1,0,0
119,0,1,1,0,1,2,1,41050,1,1,1,4.0,0,2,3,2,1,0
120,0,1,1,0,0,2,1,96790,1,15,0,4.0,2,3,2,1,0,0
121,0,0,2,0,1,7,1,56170,0,7,1,8.0,0,0,3,2,1,1
122,0,0,2,3,0,5,1,104480,1,26,0,2.0,1,2,3,1,0,0
123,1,2,2,0,1,8,5,28970,1,1,3,1.0,0,3,2,3,0,0
124,1,1,2,0,1,8,2,59680,1,3,0,1.0,0,2,1,1,0,0
126,0,1,4,1,1,1,1,29910,1,16,2,1.0,1,0,1,1,0,0
127,1,1,2,2,1,0,5,196360,1,1,1,1.0,9,1,2,1,0,0
128,0,0,1,3,0,1,3,11290,2,3,0,9.0,0,2,3,1,0,1
129,0,2,0,4,1,2,1,133410,1,10,1,1.0,12,3,0,2,0,0
130,0,2,1,2,1,1,3,43320,1,6,2,7.0,1,3,1,1,0,0
131,1,2,2,2,1,8,4,110310,1,2,1,3.0,1,1,0,1,0,0
132,0,0,0,3,0,2,3,44400,1,9,1,2.0,0,2,1,2,0,0
133,1,2,1,0,0,2,1,46170,1,10,0,1.0,3,0,1,1,0,0
134,1,1,1,0,0,5,1,26470,1,6,0,6.0,0,1,2,1,0,0
135,1,1,2,0,2,6,2,63230,1,9,1,4.0,1,0,0,2,1,0
136,0,1,2,2,1,5,1,56770,0,28,1,9.0,1,2,2,1,1,0
137,0,1,3,0,1,2,3,21870,1,10,1,1.0,3,1,0,0,0,0
139,0,2,3,0,0,7,2,39770,1,27,1,4.0,0,2,2,1,0,0
140,0,0,1,5,2,6,1,86330,1,7,1,1.0,1,1,3,1,0,0
141,0,1,2,2,1,5,3,20080,0,1,0,3.0,10,1,2,1,1,0
142,0,1,0,2,1,5,3,44400,1,24,1,1.0,3,3,0,1,0,0
143,1,2,3,4,1,2,1,30670,2,26,1,1.0,1,1,2,1,1,0
144,1,1,3,0,1,2,3,53210,2,20,0,9.0,7,2,0,2,0,0
145,1,0,3,2,0,6,2,54100,1,5,1,0.0,4,1,2,1,0,0
146,1,1,2,4,1,1,3,27820,1,7,0,1.0,0,1,0,1,0,0
147,0,2,2,2,1,0,3,119570,1,7,0,1.0,1,2,0,1,0,0
148,1,1,1,0,1,5,3,26600,1,5,0,5.0,0,0,0,1,0,1
149,1,1,1,0,1,7,2,33750,1,26,0,2.0,0,3,2,1,1,0
150,1,1,2,2,1,2,1,50980,1,2,1,3.0,0,0,3,2,0,0
151,0,1,2,2,1,1,2,48780,1,12,1,2.0,1,3,3,0,0,0
152,1,2,2,3,0,0,2,28370,2,10,1,2.0,0,0,2,1,0,0
153,0,0,2,3,0,2,1,24060,1,25,1,2.0,0,2,3,1,1,0
154,1,1,2,0,1,6,1,22690,1,10,1,5.0,11,0,0,0,0,0
155,1,2,3,3,0,2,1,41080,1,19,0,2.0,0,2,2,2,0,0
156,0,1,3,4,1,2,4,132060,2,18,2,0.0,0,3,3,3,0,0
157,0,0,1,2,1,1,1,104220,1,27,1,1.0,1,0,1,1,0,1
158,0,2,2,2,1,1,2,137440,2,5,1,0.0,1,3,2,2,1,1
159,1,1,2,3,0,2,2,49070,2,3,1,1.0,0,3,3,1,0,0
160,1,1,3,3,0,2,1,34820,1,26,1,0.0,1,2,2,1,0,0
161,1,2,1,2,1,0,4,24360,1,3,0,1.0,0,0,3,0,1,0
162,1,1,2,2,1,2,2,23800,0,15,3,4.0,1,2,3,0,0,0
163,1,1,2,2,1,6,3,194310,1,8,0,1.0,0,1,2,1,0,0
164,0,1,3,0,1,1,3,17900,1,19,1,5.0,1,2,1,3,0,1
165,0,0,2,2,1,2,1,76440,1,4,2,1.0,0,0,3,3,0,1
166,1,1,3,0,1,1,3,51310,0,2,1,0.0,7,2,0,1,0,0
167,0,2,1,0,1,1,4,63060,1,2,1,3.0,0,0,3,2,0,0
168,1,1,3,0,0,8,3,47870,1,10,0,0.0,15,1,2,1,0,0
169,0,0,1,0,0,5,3,188800,0,10,1,0.0,6,2,3,2,1,0
170,1,1,2,0,1,5,4,23390,2,16,0,4.0,13,2,0,3,1,0
171,0,2,2,4,1,6,5,135700,1,1,2,5.0,0,0,3,1,0,0
172,0,1,0,4,0,5,1,67120,1,4,1,6.0,0,0,2,0,1,0
173,1,0,1,2,1,5,2,54060,1,15,1,0.0,4,3,2,1,0,0
174,0,0,3,2,1,3,2,89380,1,2,3,7.0,0,2,2,1,0,0
175,0,2,1,0,0,5,1,24390,1,8,2,3.0,5,3,2,1,0,0
176,0,1,2,0,1,0,1,88370,1,2,0,2.0,1,2,3,1,0,0
177,0,2,2,0,1,4,2,53430,1,7,1,1.0,0,2,1,3,0,0
178,1,1,2,0,1,4,4,67280,1,10,0,7.0,7,1,2,3,1,1
179,0,2,3,3,0,4,2,66520,1,5,0,7.0,1,0,3,1,1,1
180,0,0,2,0,1,2,1,48500,1,2,1,0.0,1,3,1,1,0,0
181,1,1,1,2,1,7,2,28090,1,12,1,4.0,0,3,2,1,1,0
182,1,1,1,2,1,2,2,56890,2,22,2,3.0,0,0,2,1,0,1
183,0,2,0,3,0,4,1,20010,2,17,1,9.0,0,1,0,1,1,1
184,1,1,3,2,1,1,1,29770,2,2,3,4.0,2,1,2,1,0,0
185,0,0,3,2,1,1,1,40250,0,3,0,1.0,9,1,3,2,0,0
186,1,0,2,2,1,5,2,37850,2,7,2,5.0,1,2,2,1,0,1
187,0,1,2,2,1,5,1,108540,1,6,1,2.0,6,1,3,1,0,0
188,1,0,2,2,1,2,1,120310,1,1,0,3.0,7,0,1,1,0,0
189,1,0,1,0,1,1,2,99360,0,3,1,7.0,1,3,3,1,0,0
190,1,1,2,2,1,7,1,29660,1,22,0,9.0,6,1,2,1,0,0
191,1,0,2,0,1,5,2,25710,1,15,0,7.0,5,1,2,1,0,0
192,0,1,0,2,1,1,1,99910,2,12,1,1.0,0,2,2,1,0,0
193,0,0,3,0,1,4,3,61420,1,1,2,4.0,0,1,3,3,0,0
194,0,1,2,2,1,2,3,53900,1,5,0,1.0,5,3,0,2,0,0
195,1,1,0,2,1,2,4,44040,1,2,0,0.0,3,3,1,3,1,0
197,0,2,2,2,1,1,1,51300,1,5,0,4.0,1,3,3,3,0,0
198,1,2,2,2,1,5,1,20900,1,16,0,4.0,0,0,2,1,0,0
199,1,2,3,0,1,2,1,29090,1,2,2,9.0,0,2,3,2,0,0
200,0,0,2,4,1,2,1,34680,2,2,2,1.0,0,1,1,1,0,1
201,1,2,3,4,1,5,2,30680,0,1,0,3.0,0,2,0,1,0,0
202,0,0,2,0,1,6,2,26700,0,23,2,2.0,0,0,2,1,0,0
203,0,2,3,2,1,0,3,26930,1,9,3,5.0,0,0,2,1,0,0
204,0,0,3,2,1,3,2,95260,1,16,0,1.0,0,0,2,1,0,0
205,0,0,2,2,1,5,1,52370,1,26,1,1.0,5,3,3,1,0,0
206,1,0,2,3,0,6,2,24260,1,1,0,1.0,0,2,3,0,1,1
207,0,0,0,0,1,2,1,41930,1,8,1,4.0,1,1,3,3,0,0
208,0,1,0,2,1,3,5,29110,2,4,0,5.0,1,0,2,2,0,0
209,0,1,0,0,1,4,1,26610,1,24,1,7.0,11,1,0,1,0,0
210,0,2,1,2,1,2,1,20280,0,7,1,1.0,7,0,1,1,0,0
212,1,1,1,0,1,4,2,32980,0,7,0,8.0,1,3,2,1,1,1
213,1,1,2,0,0,0,1,29350,2,22,2,0.0,2,3,3,1,0,0
214,1,1,2,0,1,1,1,154270,1,5,1,3.0,0,2,2,1,0,0
215,1,1,3,4,1,1,5,39440,1,1,2,6.0,4,1,1,2,0,0
216,0,2,0,0,0,2,1,40110,1,21,2,1.0,0,3,2,1,0,0
217,1,1,2,3,0,2,1,34070,1,1,2,1.0,1,1,3,1,0,0
218,1,1,3,4,1,2,4,119940,1,19,1,1.0,1,0,1,3,0,0
219,1,1,2,2,0,5,1,12320,1,7,0,1.0,0,3,1,1,0,0
220,0,1,1,3,0,2,1,29600,2,2,3,1.0,10,0,1,1,0,0
221,0,1,2,0,1,1,1,190940,1,2,0,1.0,0,1,2,1,0,0
222,0,1,2,2,1,1,2,39190,2,2,0,1.0,1,0,2,1,1,1
223,0,1,2,1,1,0,2,68250,2,9,0,1.0,0,1,0,3,0,1
224,0,1,1,0,0,4,4,102480,1,6,1,1.0,1,1,3,1,0,0
225,1,2,0,2,1,7,1,189470,1,9,2,2.0,1,1,0,0,0,1
226,1,0,2,0,1,2,5,24960,1,2,3,4.0,0,0,3,1,0,0
227,1,2,2,3,0,2,2,64650,1,1,0,4.0,5,0,3,3,0,0
228,0,2,3,2,0,7,1,22060,1,22,1,0.0,0,0,2,2,0,0
229,1,1,3,3,0,5,2,20860,1,9,0,4.0,1,3,2,2,0,0
230,1,0,3,2,1,7,1,22930,1,17,2,1.0,0,3,1,3,0,0
231,1,1,3,0,1,6,2,26450,1,28,0,1.0,2,2,3,1,0,0
232,1,2,4,4,1,2,2,26830,1,10,0,4.0,0,1,3,2,0,0
233,0,0,3,2,2,3,1,20140,1,2,1,3.0,0,2,0,2,0,0
234,1,2,2,2,0,0,2,34190,2,4,1,3.0,4,3,2,1,0,0
235,0,1,0,2,1,5,2,53760,1,8,1,7.0,0,3,0,0,0,0
236,0,0,3,3,0,2,2,19510,1,29,3,4.0,0,0,2,3,1,0
237,1,2,3,0,1,5,1,23410,1,13,2,1.0,0,2,2,1,1,0
238,0,2,2,0,0,1,2,22930,1,27,0,0.0,0,2,0,1,0,1
239,0,0,1,0,0,2,3,87260,1,16,1,1.0,1,2,2,1,0,0
240,0,1,1,0,1,5,1,40110,1,2,1,4.0,0,3,3,3,0,0
241,1,1,1,2,1,5,2,195450,1,2,0,0.0,2,0,2,1,0,0
242,1,2,3,3,0,6,2,45680,1,13,1,0.0,1,2,2,1,0,0
243,1,1,0,0,1,0,1,30220,1,1,1,1.0,0,0,3,2,0,0
244,0,2,4,4,1,8,3,57720,2,4,0,1.0,0,2,2,1,0,0
245,1,0,2,1,1,8,3,22690,1,24,1,7.0,8,3,0,3,0,0
246,0,1,4,2,1,1,1,53810,1,1,0,1.0,8,1,3,2,0,0
247,0,1,3,0,1,4,3,34410,2,19,1,2.0,0,0,0,1,0,1
248,0,1,1,0,1,6,1,54540,1,7,1,1.0,0,2,3,1,0,0
249,0,1,2,2,1,8,1,98840,1,4,0,1.0,7,2,2,1,0,0
250,1,1,2,0,1,0,1,41570,1,2,3,1.0,1,1,2,2,0,0
251,1,0,4,2,1,5,4,134580,1,10,0,1.0,11,1,3,1,0,0
252,0,2,2,4,1,5,2,90690,2,8,1,3.0,4,2,3,0,1,0
253,1,1,1,0,1,2,2,40140,1,5,1,2.0,7,2,1,3,0,0
254,0,2,2,0,1,1,2,59150,1,8,1,2.0,0,1,1,1,0,0
255,0,0,2,3,0,4,5,59930,1,9,1,0.0,1,0,3,1,0,0
256,0,0,2,0,1,7,5,61620,1,1,3,1.0,1,3,2,1,0,1
257,1,0,3,2,1,5,1,24060,2,15,0,1.0,9,0,0,1,0,1
258,0,1,0,2,1,1,1,187400,0,2,1,1.0,0,2,2,1,0,0
259,0,1,2,0,1,0,1,76370,1,2,1,2.0,0,0,0,3,0,0
260,0,1,2,2,1,6,2,100960,1,11,1,0.0,1,3,1,1,0,0
261,0,0,2,0,1,1,5,147560,1,16,1,0.0,0,3,3,1,1,0
262,0,2,3,0,0,0,4,64990,2,2,3,1.0,2,1,3,1,0,0
263,0,1,2,4,1,2,1,97240,1,16,0,3.0,2,1,1,1,0,0
264,0,2,2,4,0,5,5,21940,2,4,0,1.0,0,3,3,1,0,0
265,0,0,2,0,1,8,3,33880,1,16,0,3.0,0,3,3,1,0,0
266,0,1,2,2,0,5,1,54730,1,5,1,1.0,3,3,2,1,0,0
267,0,0,0,2,1,0,1,27030,1,18,1,1.0,7,3,1,3,1,0
268,1,0,1,0,1,0,1,25010,1,17,0,9.0,2,0,2,1,0,1
269,1,0,4,2,1,7,1,62200,1,12,2,1.0,11,3,2,1,0,0
270,0,0,2,0,1,1,5,30380,1,2,0,1.0,0,3,3,2,0,0
271,0,1,1,2,1,7,4,44240,2,4,1,3.0,1,1,2,1,0,1
272,0,0,3,0,1,2,1,43120,1,9,1,0.0,1,1,3,2,0,0
273,0,1,2,2,1,1,5,132450,1,10,1,1.0,0,2,0,1,1,0
275,1,0,2,2,1,2,5,50210,1,2,0,2.0,1,3,0,1,0,0
276,1,1,3,2,1,3,3,51260,2,3,0,5.0,1,3,0,1,0,0
277,0,1,0,0,1,5,2,28590,1,7,1,3.0,1,2,2,1,0,0
278,0,2,2,2,0,2,1,102390,1,6,3,3.0,12,1,3,2,1,0
279,1,0,1,0,1,5,5,53290,1,8,0,8.0,2,0,0,1,1,0
280,0,2,0,0,1,6,2,43250,2,29,0,1.0,1,3,0,2,0,0
281,0,1,2,2,1,6,1,72600,1,3,0,1.0,2,3,2,1,0,0
282,0,1,2,0,0,1,2,23220,1,9,1,7.0,2,3,1,1,1,0
283,0,0,3,0,0,1,3,20750,1,2,3,7.0,3,0,1,1,0,1
284,1,1,3,4,1,1,2,41520,0,10,1,9.0,0,0,0,1,0,0
285,1,0,2,2,1,8,3,96190,1,1,1,4.0,0,2,2,3,0,0
286,0,0,1,0,1,1,1,135030,0,8,0,2.0,1,0,2,1,0,0
287,0,2,2,0,1,1,1,54410,2,27,1,9.0,11,3,2,2,1,0
288,0,2,2,0,1,2,2,52090,1,8,1,7.0,7,2,3,2,0,0
289,1,0,1,2,1,2,1,106730,1,1,3,1.0,0,2,2,1,0,0
290,1,2,0,0,1,2,1,50100,2,10,3,6.0,2,2,2,1,1,1
291,0,1,0,0,1,5,1,135490,2,26,2,3.0,2,3,3,1,0,0
292,0,0,4,4,1,0,2,49990,1,2,2,3.0,4,1,2,1,0,0
293,0,1,2,3,0,2,5,42210,1,13,1,1.0,0,1,0,3,0,0
294,1,1,3,3,0,0,4,138720,1,2,3,9.0,3,2,1,0,0,0
295,0,1,3,2,1,8,1,20420,1,2,0,7.0,1,2,3,2,0,0
296,0,0,2,3,0,1,2,20730,1,9,0,0.0,2,3,3,2,0,0
297,1,0,2,0,1,5,1,29560,1,10,0,8.0,0,3,0,0,0,0
298,1,2,2,3,0,8,2,29260,1,20,1,1.0,2,3,1,1,0,0
299,1,0,2,0,1,5,3,48090,1,9,0,2.0,2,3,3,1,0,0
300,0,2,0,2,1,0,1,51630,0,5,2,2.0,0,3,0,3,0,0
302,0,1,2,2,0,5,4,181720,1,10,2,6.0,0,3,2,0,0,0
303,1,2,2,2,1,5,3,57440,1,20,1,3.0,0,1,0,1,0,0
304,0,1,4,4,0,8,3,28890,1,21,1,1.0,1,2,0,3,0,0
305,0,0,1,2,1,5,3,28710,1,1,3,1.0,7,3,3,2,0,1
306,0,0,2,0,1,1,2,74840,1,8,0,1.0,1,2,3,2,0,0
307,0,0,2,0,0,0,3,60740,1,2,0,0.0,3,1,2,1,0,0
308,1,0,0,0,1,1,2,173280,1,23,1,1.0,0,0,2,1,0,0
310,0,0,2,4,1,1,1,45050,1,12,0,1.0,1,3,3,1,0,0
311,0,1,2,5,2,5,4,74280,1,7,0,5.0,1,3,0,1,0,1
312,0,0,1,0,1,2,5,116310,0,7,1,1.0,0,0,0,1,0,0
313,0,1,3,0,1,2,5,97380,0,1,2,0.0,1,3,3,1,0,0
315,0,1,1,2,1,6,3,169590,1,10,3,4.0,1,1,2,2,0,0
316,0,0,1,0,1,5,2,26130,1,15,1,6.0,1,3,0,2,0,1
317,0,0,3,4,1,6,2,61460,1,14,0,2.0,1,1,3,1,0,0
318,1,2,3,2,1,5,2,49630,1,18,1,9.0,1,3,0,1,0,0
319,1,1,1,0,1,1,4,195370,2,13,0,0.0,1,2,3,1,0,0
320,0,2,3,4,0,6,2,61720,1,2,0,0.0,4,3,0,2,0,0
321,1,0,3,0,0,1,2,23680,2,2,1,6.0,4,0,0,1,0,0
322,0,0,2,3,0,7,1,103120,1,2,0,1.0,1,2,0,1,0,0
323,0,1,3,2,1,8,3,16750,1,5,0,1.0,0,0,3,2,0,0
324,0,1,2,2,1,5,1,25230,1,20,1,3.0,0,3,2,1,0,0
325,0,1,3,2,1,6,2,65670,2,10,1,1.0,3,2,1,1,0,0
326,0,1,2,0,1,0,3,47390,1,10,2,5.0,1,2,0,1,1,0
327,0,2,3,2,1,6,1,92080,2,9,1,1.0,14,1,3,2,0,0
328,1,1,2,2,0,6,4,45590,1,2,1,1.0,0,2,0,1,0,1
329,1,2,4,3,0,6,1,81890,0,1,1,1.0,0,2,1,1,0,0
330,0,1,2,0,1,6,2,29420,1,29,1,8.0,1,3,2,1,0,0
331,0,1,3,0,1,2,2,49410,1,8,1,5.0,0,2,2,1,0,0
332,1,1,3,3,0,1,4,106500,1,2,2,1.0,0,1,0,1,0,1
333,0,1,3,0,1,6,4,59020,1,3,1,0.0,3,2,2,3,0,0
334,0,0,4,0,1,3,1,86390,1,23,2,5.0,0,0,0,1,0,1
335,0,1,3,1,1,8,2,63470,1,6,0,1.0,3,2,3,2,0,0
336,1,1,2,2,0,2,2,42000,1,6,0,0.0,0,2,1,1,1,0
337,0,1,2,1,1,1,1,34520,1,10,0,1.0,0,2,2,1,0,0
338,1,0,2,1,1,1,2,43170,1,24,0,7.0,13,3,1,1,0,1
339,1,0,3,3,0,1,1,26320,1,10,3,3.0,2,3,2,1,0,0
340,0,1,0,3,0,5,2,46680,1,15,2,9.0,0,3,3,1,0,0
341,1,0,3,2,1,2,2,32040,1,19,1,6.0,2,2,2,2,0,1
342,0,1,2,0,1,0,2,27200,1,2,1,4.0,0,2,1,1,0,0
343,0,1,0,2,1,6,2,171810,1,3,0,1.0,6,2,2,1,0,0
345,0,0,2,4,1,4,2,14830,1,7,0,5.0,0,2,3,2,0,0
346,0,0,3,0,1,4,1,56050,1,10,2,1.0,0,1,2,1,0,0
347,0,1,1,2,1,7,2,72950,1,20,0,1.0,7,1,1,2,0,0
348,0,2,2,2,0,1,2,23060,2,4,1,2.0,1,0,0,2,0,0
349,0,0,3,0,1,5,3,23480,2,7,1,1.0,1,2,3,1,0,0
